Timestamp,VoltageRMSMin,VoltageRMSAvg,VoltageRMSMax,CurrentRMSMin,CurrentRMSAvg,CurrentRMSMax,RealPowerMin,RealPowerAvg,RealPowerMax,ReactivePowerMin,ReactivePowerAvg,ReactivePowerMax,ApparentPowerMin,ApparentPowerAvg,ApparentPowerMax,FrequencyMin,FrequencyAvg,FrequencyMax
2024-01-01 10:00:00,226.0,236.0,246.0,19.0,24.0,29.0,4294,5664,7134,100,200,300,4344,5714,7184,50.05,50.15,50.25
2024-01-01 10:00:01,222.0,232.0,242.0,12.0,17.0,22.0,2664,3944,5324,110,210,310,2714,3994,5374,49.81,49.91,50.01
2024-01-01 10:00:02,226.0,236.0,246.0,24.0,29.0,34.0,5424,6844,8364,120,220,320,5474,6894,8414,50.10,50.20,50.30
2024-01-01 10:00:03,238.0,248.0,258.0,15.0,20.0,25.0,3570,4960,6450,130,230,330,3620,5010,6500,50.07,50.17,50.27
2024-01-01 10:00:04,235.0,245.0,255.0,20.0,25.0,30.0,4700,6125,7650,140,240,340,4750,6175,7700,49.95,50.05,50.15
2024-01-01 10:00:05,230.0,240.0,250.0,11.0,16.0,21.0,2530,3840,5250,150,250,350,2580,3890,5300,50.08,50.18,50.28
2024-01-01 10:00:06,222.0,232.0,242.0,23.0,28.0,33.0,5106,6496,7986,160,260,360,5156,6546,8036,50.20,50.30,50.40
2024-01-01 10:00:07,235.0,245.0,255.0,22.0,27.0,32.0,5170,6615,8160,170,270,370,5220,6665,8210,50.12,50.22,50.32
2024-01-01 10:00:08,236.0,246.0,256.0,16.0,21.0,26.0,3776,5166,6656,180,280,380,3826,5216,6706,50.16,50.26,50.36
2024-01-01 10:00:09,234.0,244.0,254.0,24.0,29.0,34.0,5616,7076,8636,190,290,390,5666,7126,8686,50.14,50.24,50.34
