Timestamp,VoltageRMSMin,VoltageRMSAvg,VoltageRMSMax,CurrentRMSMin,CurrentRMSAvg,CurrentRMSMax,RealPowerMin,RealPowerAvg,RealPowerMax,ReactivePowerMin,ReactivePowerAvg,ReactivePowerMax,ApparentPowerMin,ApparentPowerAvg,ApparentPowerMax,FrequencyMin,FrequencyAvg,FrequencyMax
2024-01-01 10:00:00,234.0,244.0,254.0,17.0,22.0,27.0,3978,5368,6858,100,200,300,4028,5418,6908,50.20,50.30,50.40
2024-01-01 10:00:01,223.0,233.0,243.0,10.0,15.0,20.0,2230,3495,4860,110,210,310,2280,3545,4910,50.20,50.30,50.40
2024-01-01 10:00:02,230.0,240.0,250.0,23.0,28.0,33.0,5290,6720,8250,120,220,320,5340,6770,8300,50.09,50.19,50.29
2024-01-01 10:00:03,228.0,238.0,248.0,16.0,21.0,26.0,3648,4998,6448,130,230,330,3698,5048,6498,50.20,50.30,50.40
2024-01-01 10:00:04,224.0,234.0,244.0,18.0,23.0,28.0,4032,5382,6832,140,240,340,4082,5432,6882,50.19,50.29,50.39
2024-01-01 10:00:05,228.0,238.0,248.0,19.0,24.0,29.0,4332,5712,7192,150,250,350,4382,5762,7242,50.19,50.29,50.39
2024-01-01 10:00:06,232.0,242.0,252.0,17.0,22.0,27.0,3944,5324,6804,160,260,360,3994,5374,6854,49.95,50.05,50.15
2024-01-01 10:00:07,230.0,240.0,250.0,13.0,18.0,23.0,2990,4320,5750,170,270,370,3040,4370,5800,49.86,49.96,50.06
2024-01-01 10:00:08,228.0,238.0,248.0,11.0,16.0,21.0,2508,3808,5208,180,280,380,2558,3858,5258,50.12,50.22,50.32
2024-01-01 10:00:09,239.0,249.0,259.0,12.0,17.0,22.0,2868,4233,5698,190,290,390,2918,4283,5748,49.93,50.03,50.13
