Timestamp,VoltageRMSMin,VoltageRMSAvg,VoltageRMSMax,CurrentRMSMin,CurrentRMSAvg,CurrentRMSMax,RealPowerMin,RealPowerAvg,RealPowerMax,ReactivePowerMin,ReactivePowerAvg,ReactivePowerMax,ApparentPowerMin,ApparentPowerAvg,ApparentPowerMax,FrequencyMin,FrequencyAvg,FrequencyMax
2024-01-01 10:00:00,225.0,235.0,245.0,14.0,19.0,24.0,3150,4465,5880,100,200,300,3200,4515,5930,50.14,50.24,50.34
2024-01-01 10:00:01,223.0,233.0,243.0,13.0,18.0,23.0,2899,4194,5589,110,210,310,2949,4244,5639,49.83,49.93,50.03
2024-01-01 10:00:02,231.0,241.0,251.0,17.0,22.0,27.0,3927,5302,6777,120,220,320,3977,5352,6827,50.02,50.12,50.22
2024-01-01 10:00:03,234.0,244.0,254.0,10.0,15.0,20.0,2340,3660,5080,130,230,330,2390,3710,5130,50.07,50.17,50.27
2024-01-01 10:00:04,230.0,240.0,250.0,10.0,15.0,20.0,2300,3600,5000,140,240,340,2350,3650,5050,50.15,50.25,50.35
2024-01-01 10:00:05,235.0,245.0,255.0,15.0,20.0,25.0,3525,4900,6375,150,250,350,3575,4950,6425,49.84,49.94,50.04
2024-01-01 10:00:06,238.0,248.0,258.0,20.0,25.0,30.0,4760,6200,7740,160,260,360,4810,6250,7790,50.05,50.15,50.25
2024-01-01 10:00:07,221.0,231.0,241.0,12.0,17.0,22.0,2652,3927,5302,170,270,370,2702,3977,5352,50.03,50.13,50.23
2024-01-01 10:00:08,221.0,231.0,241.0,14.0,19.0,24.0,3094,4389,5784,180,280,380,3144,4439,5834,49.88,49.98,50.08
2024-01-01 10:00:09,221.0,231.0,241.0,12.0,17.0,22.0,2652,3927,5302,190,290,390,2702,3977,5352,49.87,49.97,50.07
