Timestamp,VoltageRMSMin,VoltageRMSAvg,VoltageRMSMax,CurrentRMSMin,CurrentRMSAvg,CurrentRMSMax,RealPowerMin,RealPowerAvg,RealPowerMax,ReactivePowerMin,ReactivePowerAvg,ReactivePowerMax,ApparentPowerMin,ApparentPowerAvg,ApparentPowerMax,FrequencyMin,FrequencyAvg,FrequencyMax
2024-01-01 10:00:00,238.0,248.0,258.0,18.0,23.0,28.0,4284,5704,7224,100,200,300,4334,5754,7274,50.07,50.17,50.27
2024-01-01 10:00:01,235.0,245.0,255.0,10.0,15.0,20.0,2350,3675,5100,110,210,310,2400,3725,5150,49.84,49.94,50.04
2024-01-01 10:00:02,228.0,238.0,248.0,16.0,21.0,26.0,3648,4998,6448,120,220,320,3698,5048,6498,50.03,50.13,50.23
2024-01-01 10:00:03,236.0,246.0,256.0,14.0,19.0,24.0,3304,4674,6144,130,230,330,3354,4724,6194,49.88,49.98,50.08
2024-01-01 10:00:04,230.0,240.0,250.0,20.0,25.0,30.0,4600,6000,7500,140,240,340,4650,6050,7550,50.07,50.17,50.27
2024-01-01 10:00:05,235.0,245.0,255.0,19.0,24.0,29.0,4465,5880,7395,150,250,350,4515,5930,7445,49.87,49.97,50.07
2024-01-01 10:00:06,229.0,239.0,249.0,17.0,22.0,27.0,3893,5258,6723,160,260,360,3943,5308,6773,50.00,50.10,50.20
2024-01-01 10:00:07,222.0,232.0,242.0,17.0,22.0,27.0,3774,5104,6534,170,270,370,3824,5154,6584,50.19,50.29,50.39
2024-01-01 10:00:08,229.0,239.0,249.0,10.0,15.0,20.0,2290,3585,4980,180,280,380,2340,3635,5030,49.98,50.08,50.18
2024-01-01 10:00:09,223.0,233.0,243.0,21.0,26.0,31.0,4683,6058,7533,190,290,390,4733,6108,7583,49.91,50.01,50.11
