Timestamp,VoltageRMSMin,VoltageRMSAvg,VoltageRMSMax,CurrentRMSMin,CurrentRMSAvg,CurrentRMSMax,RealPowerMin,RealPowerAvg,RealPowerMax,ReactivePowerMin,ReactivePowerAvg,ReactivePowerMax,ApparentPowerMin,ApparentPowerAvg,ApparentPowerMax,FrequencyMin,FrequencyAvg,FrequencyMax
2024-01-01 10:00:00,230.0,240.0,250.0,15.0,20.0,25.0,3450,4800,6250,100,200,300,3500,4850,6300,49.93,50.03,50.13
2024-01-01 10:00:01,230.0,240.0,250.0,10.0,15.0,20.0,2300,3600,5000,110,210,310,2350,3650,5050,50.16,50.26,50.36
2024-01-01 10:00:02,232.0,242.0,252.0,15.0,20.0,25.0,3480,4840,6300,120,220,320,3530,4890,6350,50.16,50.26,50.36
2024-01-01 10:00:03,239.0,249.0,259.0,18.0,23.0,28.0,4302,5727,7252,130,230,330,4352,5777,7302,50.12,50.22,50.32
2024-01-01 10:00:04,238.0,248.0,258.0,16.0,21.0,26.0,3808,5208,6708,140,240,340,3858,5258,6758,49.91,50.01,50.11
2024-01-01 10:00:05,220.0,230.0,240.0,18.0,23.0,28.0,3960,5290,6720,150,250,350,4010,5340,6770,50.10,50.20,50.30
2024-01-01 10:00:06,236.0,246.0,256.0,17.0,22.0,27.0,4012,5412,6912,160,260,360,4062,5462,6962,49.91,50.01,50.11
2024-01-01 10:00:07,238.0,248.0,258.0,24.0,29.0,34.0,5712,7192,8772,170,270,370,5762,7242,8822,49.93,50.03,50.13
2024-01-01 10:00:08,228.0,238.0,248.0,12.0,17.0,22.0,2736,4046,5456,180,280,380,2786,4096,5506,49.86,49.96,50.06
2024-01-01 10:00:09,235.0,245.0,255.0,19.0,24.0,29.0,4465,5880,7395,190,290,390,4515,5930,7445,49.94,50.04,50.14
