Timestamp,VoltageRMSMin,VoltageRMSAvg,VoltageRMSMax,CurrentRMSMin,CurrentRMSAvg,CurrentRMSMax,RealPowerMin,RealPowerAvg,RealPowerMax,ReactivePowerMin,ReactivePowerAvg,ReactivePowerMax,ApparentPowerMin,ApparentPowerAvg,ApparentPowerMax,FrequencyMin,FrequencyAvg,FrequencyMax
2024-01-01 10:00:00,238.0,248.0,258.0,11.0,16.0,21.0,2618,3968,5418,100,200,300,2668,4018,5468,50.00,50.10,50.20
2024-01-01 10:00:01,239.0,249.0,259.0,13.0,18.0,23.0,3107,4482,5957,110,210,310,3157,4532,6007,50.16,50.26,50.36
2024-01-01 10:00:02,236.0,246.0,256.0,15.0,20.0,25.0,3540,4920,6400,120,220,320,3590,4970,6450,50.15,50.25,50.35
2024-01-01 10:00:03,237.0,247.0,257.0,15.0,20.0,25.0,3555,4940,6425,130,230,330,3605,4990,6475,49.91,50.01,50.11
2024-01-01 10:00:04,238.0,248.0,258.0,21.0,26.0,31.0,4998,6448,7998,140,240,340,5048,6498,8048,49.99,50.09,50.19
2024-01-01 10:00:05,220.0,230.0,240.0,14.0,19.0,24.0,3080,4370,5760,150,250,350,3130,4420,5810,50.07,50.17,50.27
2024-01-01 10:00:06,224.0,234.0,244.0,20.0,25.0,30.0,4480,5850,7320,160,260,360,4530,5900,7370,49.96,50.06,50.16
2024-01-01 10:00:07,236.0,246.0,256.0,20.0,25.0,30.0,4720,6150,7680,170,270,370,4770,6200,7730,50.17,50.27,50.37
2024-01-01 10:00:08,239.0,249.0,259.0,16.0,21.0,26.0,3824,5229,6734,180,280,380,3874,5279,6784,50.16,50.26,50.36
2024-01-01 10:00:09,233.0,243.0,253.0,10.0,15.0,20.0,2330,3645,5060,190,290,390,2380,3695,5110,49.90,50.00,50.10
