Timestamp,VoltageRMSMin,VoltageRMSAvg,VoltageRMSMax,CurrentRMSMin,CurrentRMSAvg,CurrentRMSMax,RealPowerMin,RealPowerAvg,RealPowerMax,ReactivePowerMin,ReactivePowerAvg,ReactivePowerMax,ApparentPowerMin,ApparentPowerAvg,ApparentPowerMax,FrequencyMin,FrequencyAvg,FrequencyMax
2024-01-01 10:00:00,237.0,247.0,257.0,18.0,23.0,28.0,4266,5681,7196,100,200,300,4316,5731,7246,49.90,50.00,50.10
2024-01-01 10:00:01,236.0,246.0,256.0,24.0,29.0,34.0,5664,7134,8704,110,210,310,5714,7184,8754,50.00,50.10,50.20
2024-01-01 10:00:02,234.0,244.0,254.0,21.0,26.0,31.0,4914,6344,7874,120,220,320,4964,6394,7924,49.99,50.09,50.19
2024-01-01 10:00:03,233.0,243.0,253.0,19.0,24.0,29.0,4427,5832,7337,130,230,330,4477,5882,7387,49.80,49.90,50.00
2024-01-01 10:00:04,225.0,235.0,245.0,20.0,25.0,30.0,4500,5875,7350,140,240,340,4550,5925,7400,49.83,49.93,50.03
2024-01-01 10:00:05,227.0,237.0,247.0,24.0,29.0,34.0,5448,6873,8398,150,250,350,5498,6923,8448,49.93,50.03,50.13
2024-01-01 10:00:06,226.0,236.0,246.0,24.0,29.0,34.0,5424,6844,8364,160,260,360,5474,6894,8414,50.01,50.11,50.21
2024-01-01 10:00:07,224.0,234.0,244.0,18.0,23.0,28.0,4032,5382,6832,170,270,370,4082,5432,6882,50.11,50.21,50.31
2024-01-01 10:00:08,223.0,233.0,243.0,19.0,24.0,29.0,4237,5592,7047,180,280,380,4287,5642,7097,50.07,50.17,50.27
2024-01-01 10:00:09,233.0,243.0,253.0,21.0,26.0,31.0,4893,6318,7843,190,290,390,4943,6368,7893,49.94,50.04,50.14
